Category,Date,Purchase,Amount,Rest Savings,Political Savings,Political Savings 1 year,Books Expenditure
Books,01/27,BARNES & NOBLE,5.1,531.06,1242.69,2733.918,13.66
Books,01/27,BARNES & NOBLE,8.56,531.06,1242.69,2733.918,13.66
Car Sharing Services,12/16,UBER,36.94,531.06,1242.69,2733.918,13.66
Car Sharing Services,01/30,UBER,1.0,531.06,1242.69,2733.918,13.66
Car Sharing Services,02/03,UBER,3.0,531.06,1242.69,2733.918,13.66
Car Sharing Services,02/09,UBER,1.0,531.06,1242.69,2733.918,13.66
Car Sharing Services,02/13,UBER,2.0,531.06,1242.69,2733.918,13.66
Car Sharing Services,02/13,UBER,2.0,531.06,1242.69,2733.918,13.66
Car Sharing Services,02/13,UBER,2.0,531.06,1242.69,2733.918,13.66
Car Sharing Services,02/13,UBER,2.0,531.06,1242.69,2733.918,13.66
Car Sharing Services,02/13,UBER,3.03,531.06,1242.69,2733.918,13.66
Car Sharing Services,01/22,UBER,1.0,531.06,1242.69,2733.918,13.66
Car Sharing Services,01/22,UBER,9.65,531.06,1242.69,2733.918,13.66
Car Sharing Services,01/30,UBER,3.0,531.06,1242.69,2733.918,13.66
Car Sharing Services,01/30,UBER,5.0,531.06,1242.69,2733.918,13.66
Car Sharing Services,02/13,UBER,1.0,531.06,1242.69,2733.918,13.66
Car Sharing Services,12/20,UBER EATS,59.74,531.06,1242.69,2733.918,13.66
Car Sharing Services,01/18,UBER THNCD,1.0,531.06,1242.69,2733.918,13.66
Car Sharing Services,12/18,UBER TIP,5.54,531.06,1242.69,2733.918,13.66
Car Sharing Services,12/20,UBER TIP,4.0,531.06,1242.69,2733.918,13.66
Car Sharing Services,01/16,UBER TIP,1.0,531.06,1242.69,2733.918,13.66
Car Sharing Services,01/16,UBER TRIP,9.16,531.06,1242.69,2733.918,13.66
Car Sharing Services,01/18,UBER TRIP,787.0,531.06,1242.69,2733.918,13.66
